Error Type,Topic Guid,Message
Warning,3034f03c-2d5a-46de-9cb8-2c101ff194fa,Found invalid tables saving file:3034f03c-2d5a-46de-9cb8-2c101ff194fa.md
Warning,3038dd73-41ee-436f-8c78-ef8e6869bf7b,Found herf tag with an image in file:3038dd73-41ee-436f-8c78-ef8e6869bf7b.md total found:3
Warning,3038dd73-41ee-436f-8c78-ef8e6869bf7b,Found invalid msdn links in md file:3038dd73-41ee-436f-8c78-ef8e6869bf7b.md
Warning,3038dd73-41ee-436f-8c78-ef8e6869bf7b,Found a an ul list inside a table in html file:3038dd73-41ee-436f-8c78-ef8e6869bf7b.xml
Warning,346f56cd-2523-4407-bf41-887e40aee1c3,Missing tables headers in file:346f56cd-2523-4407-bf41-887e40aee1c3.md
Warning,346f56cd-2523-4407-bf41-887e40aee1c3,Fixing missing end table tag in file:346f56cd-2523-4407-bf41-887e40aee1c3.md
Warning,346f56cd-2523-4407-bf41-887e40aee1c3,Found invalid tables saving file:346f56cd-2523-4407-bf41-887e40aee1c3.md
Warning,3b47c97b-9e09-47b2-a65f-29b0f44e34bf,Found a an ul list inside a table in html file:3b47c97b-9e09-47b2-a65f-29b0f44e34bf.xml
Warning,3dba209d-cb98-4e5d-b4b2-fad31e667ca1,Found a an ul list inside a table in html file:3dba209d-cb98-4e5d-b4b2-fad31e667ca1.xml
Warning,3eb5c797-c395-4661-88ca-f7800306d781,Found invalid msdn links in md file:3eb5c797-c395-4661-88ca-f7800306d781.md
Warning,4534e0f5-61ef-4145-a63b-a9fa70f51391,Found a an ul list inside a table in html file:4534e0f5-61ef-4145-a63b-a9fa70f51391.xml
Warning,4d75d113-8dc8-4026-a297-c47b6d4d7008,Found a an ol list inside a table in html file:4d75d113-8dc8-4026-a297-c47b6d4d7008.xml
Warning,5539db63-6791-4b64-a090-41d84fe895c2,Missing tables headers in file:5539db63-6791-4b64-a090-41d84fe895c2.md
Warning,5539db63-6791-4b64-a090-41d84fe895c2,Fixing missing end table tag in file:5539db63-6791-4b64-a090-41d84fe895c2.md
Warning,5539db63-6791-4b64-a090-41d84fe895c2,Found invalid tables saving file:5539db63-6791-4b64-a090-41d84fe895c2.md
Warning,580c0fee-e348-4ae0-b6ef-009aef09b753,Found a an ul list inside a table in html file:580c0fee-e348-4ae0-b6ef-009aef09b753.xml
Warning,580c0fee-e348-4ae0-b6ef-009aef09b753,Missing tables headers in file:580c0fee-e348-4ae0-b6ef-009aef09b753.md
Warning,580c0fee-e348-4ae0-b6ef-009aef09b753,Fixing missing end table tag in file:580c0fee-e348-4ae0-b6ef-009aef09b753.md
Warning,580c0fee-e348-4ae0-b6ef-009aef09b753,Fixing missing end table tag in file:580c0fee-e348-4ae0-b6ef-009aef09b753.md
Warning,580c0fee-e348-4ae0-b6ef-009aef09b753,Fixing missing end table tag in file:580c0fee-e348-4ae0-b6ef-009aef09b753.md
Warning,580c0fee-e348-4ae0-b6ef-009aef09b753,Fixing missing end table tag in file:580c0fee-e348-4ae0-b6ef-009aef09b753.md
Warning,580c0fee-e348-4ae0-b6ef-009aef09b753,Fixing missing end table tag in file:580c0fee-e348-4ae0-b6ef-009aef09b753.md
Warning,580c0fee-e348-4ae0-b6ef-009aef09b753,Found invalid tables saving file:580c0fee-e348-4ae0-b6ef-009aef09b753.md
Warning,58932389-0100-47ee-9d33-1b4321d3f462,Found a an ol list inside a table in html file:58932389-0100-47ee-9d33-1b4321d3f462.xml
Warning,5a69c9e3-73bf-4ed5-bc19-182056bdb394,Found invalid msdn links in md file:5a69c9e3-73bf-4ed5-bc19-182056bdb394.md
Warning,5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4,Video is found in md file:5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4.md total found:1
Warning,5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4,Missing tables headers in file:5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4.md
Warning,5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4,Found nested table in md file:5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4.md
Warning,5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4,Fixing missing end table tag in file:5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4.md
Warning,5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4,Found invalid tables saving file:5f7a8440-3c09-4cf8-83ec-c236bfa2d6c4.md
Warning,649c06b9-3612-439a-acb3-041e5f5f01f3,Found a an ol list inside a table in html file:649c06b9-3612-439a-acb3-041e5f5f01f3.xml
Warning,6790bfdf-ae94-4115-8abd-df0087c0236f,Found a an ul list inside a table in html file:6790bfdf-ae94-4115-8abd-df0087c0236f.xml
Warning,6ce01956-6bda-45bf-9b4a-cffc0687a913,Found a an ul list inside a table in html file:6ce01956-6bda-45bf-9b4a-cffc0687a913.xml
Warning,6ce01956-6bda-45bf-9b4a-cffc0687a913,Fixing missing end table tag in file:6ce01956-6bda-45bf-9b4a-cffc0687a913.md
Warning,6ce01956-6bda-45bf-9b4a-cffc0687a913,Fixing missing end table tag in file:6ce01956-6bda-45bf-9b4a-cffc0687a913.md
Warning,6ce01956-6bda-45bf-9b4a-cffc0687a913,Fixing missing end table tag in file:6ce01956-6bda-45bf-9b4a-cffc0687a913.md
Warning,6ce01956-6bda-45bf-9b4a-cffc0687a913,Fixing missing end table tag in file:6ce01956-6bda-45bf-9b4a-cffc0687a913.md
Warning,6ce01956-6bda-45bf-9b4a-cffc0687a913,Fixing missing end table tag in file:6ce01956-6bda-45bf-9b4a-cffc0687a913.md
Warning,6ce01956-6bda-45bf-9b4a-cffc0687a913,Found invalid tables saving file:6ce01956-6bda-45bf-9b4a-cffc0687a913.md
Warning,6cefbe6a-f8ba-4a9c-addd-419fc4f9e550,Found a an ul list inside a table in html file:6cefbe6a-f8ba-4a9c-addd-419fc4f9e550.xml
Warning,6da6ac25-53b7-4dd2-8637-a86e7ca1f3ff,Found a an ul list inside a table in html file:6da6ac25-53b7-4dd2-8637-a86e7ca1f3ff.xml
Warning,7f85a4ec-594d-4eee-9c1a-7a5ad232e088,Found invalid msdn links in md file:7f85a4ec-594d-4eee-9c1a-7a5ad232e088.md
Warning,7f85a4ec-594d-4eee-9c1a-7a5ad232e088,Found nested table in md file:7f85a4ec-594d-4eee-9c1a-7a5ad232e088.md
Warning,800ec8cd-a448-46bc-b41e-d4030eeb4048,Found invalid msdn links in md file:800ec8cd-a448-46bc-b41e-d4030eeb4048.md
Warning,91a20d79-318f-44ce-9877-3fa07d03aa09,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>La page personnalisée s'ouvre et les deux lignes que vous avez placées dans les balises &lt;p&gt; apparaissent en vert.</p> in md file:91a20d79-318f-44ce-9877-3fa07d03aa09.md total found:0
Warning,9d7805e5-5ea8-4309-ba6a-d629281535af,Found invalid msdn links in md file:9d7805e5-5ea8-4309-ba6a-d629281535af.md
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Found a an dl list inside a table in html file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.xml
Error,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Checking for list in tables in file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.xml message:System.Collections.ArrayList
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Missing tables headers in file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.md
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Fixing missing end table tag in file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.md
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Fixing missing end table tag in file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.md
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Fixing missing end table tag in file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.md
Warning,a1ddb750-e4e2-40a8-90a9-d62c576648dd,Fixing missing end table tag in file:a1ddb750-e4e2-40a8-90a9-d62c576648dd.md
