VBA Project,GUID,Friendly name
mod_sp15_appscope,2f346d82-fd09-47d4-a2b3-e2b3cc59ee1d,office-web-widgetsexperimental-license-terms
mod_sp15_appscope,53bf456d-a832-4b43-8ccd-42e4dab81dfc,give-your-provider-hosted-add-in-the-sharepoint-look-and-feel
mod_sp15_appscope,58932389-0100-47ee-9d33-1b4321d3f462,include-a-custom-button-in-the-provider-hosted-add-in
mod_sp15_appscope,6b8b55f8-9370-43a0-af8d-e07d1028a075,get-a-quick-overview-of-the-sharepoint-object-model
mod_sp15_appscope,c3d11afd-098e-4cf9-941e-cca6db28d732,add-sharepoint-write-operations-to-the-provider-hosted-add-in
mod_sp15_appscope,f77d528d-8b6d-4e2e-983c-3f3957983e9f,include-an-add-in-part-in-the-provider-hosted-add-in
mod_sp15_appscope,d5679867-083f-46c8-a2bd-00a43f042c24,handle-add-in-events-in-the-provider-hosted-add-in
mod_sp15_appscope,649c06b9-3612-439a-acb3-041e5f5f01f3,add-first-run-logic-to-the-provider-hosted-add-in
mod_sp15_appscope,4534e0f5-61ef-4145-a63b-a9fa70f51391,handle-list-item-events-in-the-provider-hosted-add-in
mod_sp15_appscope,4d75d113-8dc8-4026-a297-c47b6d4d7008,programmatically-deploy-a-custom-button-in-the-provider-hosted-add-in
mod_sp15_appscope,3edcb33c-fa9e-4e9e-82d6-5519fd981324,update-sharepoint-add-ins
mod_sp15_appscope,b791cdf5-8aa2-47fa-bc4c-aee437354759,host-webs-add-in-webs-and-sharepoint-components-in-sharepoint-2013
mod_sp15_appscope,05ce5435-0a03-4ddc-976b-c33b08d03457,choose-patterns-for-developing-and-hosting-your-sharepoint-add-in
